2D Materials;2D Mater.
International Journal of Wireless Information Networks;Int. J. Wirel. Inf. Netw.
International Journal of Womens Health;Int. J. Womens Health
International Journal of Womens Health and Reproduction Sciences;Int. J. Womens Health Reprod. Sci.
International Journal of Workplace Health Management;Int. J. Workplace Health Manag.
International Journal on Artificial Intelligence Tools;Int. J. Artif. Intell. Tools
International Journal on Digital Libraries;Int. J. Digit. Llibraries
International Journal on Document Analysis and Recognition;Int. J. Doc. Anal. Recognit.
International Journal on Information Technologies and Security;Int. J. Inf. Technol. Secur.
International Journal on Minority and Group Rights;Int. J. Minor. Group Rights
International Journal on Semantic Web and Information Systems;Int. J. Semant. Web Inf. Syst.
International Journal on Smart Sensing and Intelligent Systems;Int. J. Smart Sens. Intell. Syst.
International Journal on Software Tools for Technology Transfer;Int. J. Softw. Tools Technol. Transf.
International Journal on Working Conditions;Int. J. Working Cond.
INTERNATIONAL LABOR AND WORKING-CLASS HISTORY;Int. Lab. Work.-Class Hist.
INTERNATIONAL LABOUR REVIEW;Int. Labour Rev.
International Letters of Natural Sciences;Int. Lett. Nat. Sci.
International Maritime Health;Int. Marit. Health
INTERNATIONAL MARKETING REVIEW;Int. Market. Rev.
INTERNATIONAL MATERIALS REVIEWS;Int. Mater. Rev.
INTERNATIONAL MATHEMATICS RESEARCH NOTICES;Int. Math. Res. Notices
International Medical Case Reports Journal;INT. MED. CASE REP. J.
International Medical Journal Malaysia;Int. Med. J. Malays.
INTERNATIONAL MICROBIOLOGY;Int. Microbiol.
INTERNATIONAL MIGRATION;Int. Migr.
INTERNATIONAL MIGRATION REVIEW;Int. Migr. Rev.
International Multilingual Research Journal;Int. Multiling. Res. J.
International Nano Letters;Int. Nano Lett.
International Negotiation-A Journal of Theory and Practice;Int. Negot.-J. Theory Pract.
International Neurourology Journal;Int. Neurourol. J.
INTERNATIONAL NURSING REVIEW;Int. Nurs. Rev.
INTERNATIONAL OPHTHALMOLOGY;Int. Ophthalmol.
INTERNATIONAL ORGANIZATION;Int. Organ.
International Organizations Law Review;Int. Organ. Law Rev.
International Orthodontics;Int. Orthod.
INTERNATIONAL ORTHOPAEDICS;Int. Orthop.
International Peacekeeping;Int. Peacekeeping
International Perspectives on Sexual and Reproductive Health;Int. Perspect. Sex Reprod. Health
INTERNATIONAL PHILOSOPHICAL QUARTERLY;Int. Philos. Q.
International Planning Studies;Int. Plan. Stud.
INTERNATIONAL POLITICAL SCIENCE REVIEW;Int. Polit. Sci. Rev.
International Political Sociology;Int. Polit. Sociol.
International Politics;Int. Polit.
INTERNATIONAL POLYMER PROCESSING;Int. Polym. Process.
International Productivity Monitor;Int. Product. Monit.
INTERNATIONAL PSYCHOGERIATRICS;Int. Psychogeriatr.
International Public Management Journal;Int. Public Manag. J.
International Quarterly of Community Health Education;Int. Q. Community Health Educ.
International Real Estate Review;Int. Real Estate Rev.
INTERNATIONAL REGIONAL SCIENCE REVIEW;Int. Reg. Sci. Rev.
International Relations;Int. Relat.
International Relations of the Asia-Pacific;Int. Relat. Asia-Pac.
International Research in Childrens Literature;Int. Res. Child. Lit.
International Research in Geographical and Environmental Education;Int. Res. Geogr. Environ. Educ.
International Review;Int. Rev.
International Review for Spatial Planning and Sustainable Development;Int. Rev. Spat. Plan. Sustain. Dev.
International Review for the Sociology of Sport;Int. Rev. Sociol. Sport
INTERNATIONAL REVIEW OF ADMINISTRATIVE SCIENCES;Int. Rev. Adm. Sci.
INTERNATIONAL REVIEW OF AFRICAN AMERICAN ART;Int. Rev. Afr. Am. Art
International Review of Applied Economics;Int. Rev. Appl. Econ.
International Review of Cell and Molecular Biology;Int. Rev. Cell Mol. Biol.
International Review of Economics & Finance;Int. Rev. Econ. Financ.
International Review of Economics Education;Int. Rev. Econ. Educ.
INTERNATIONAL REVIEW OF EDUCATION;Int. Rev. Educ.
International Review of Entrepreneurship;Int. Rev. Entrep.
International Review of Environmental and Resource Economics;Int. Rev. Environ. Resour. Econ.
International Review of Finance;Int. Rev. Financ.
International Review of Financial Analysis;Int. Rev. Financ. Anal.
INTERNATIONAL REVIEW OF HYDROBIOLOGY;Int. Rev. Hydrobiol.
INTERNATIONAL REVIEW OF LAW AND ECONOMICS;Int. Rev. Law Econ.
International Review of Mission;Int. Rev. Mission
International Review of Neurobiology;Int. Rev. Neurobiol.
International Review of Pragmatics;Int. Rev. Pragmat.
INTERNATIONAL REVIEW OF PSYCHIATRY;Int. Rev. Psych.
International Review of Research in Developmental Disabilities;Int. Rev. Res. Dev. Disabil.
International Review of Research in Open and Distributed Learning;Int. Rev. Res. Open Distrib. Learn.
International Review of Retail Distribution and Consumer Research;Int. Rev. Retail Distrib. Consum. Res.
International Review of Scottish Studies;Int. Rev. Scott. Stud.
INTERNATIONAL REVIEW OF SOCIAL HISTORY;Int. Rev. Soc. Hist.
International Review of Social Psychology;Int. Rev. Soc. Psychol.
International Review of Sociology-Revue Internationale de Sociologie;Int. Rev. Sociol.
International Review of Sport and Exercise Psychology;Int. Rev. Sport Exerc. Psychol.
INTERNATIONAL REVIEW OF THE AESTHETICS AND SOCIOLOGY OF MUSIC;Int. Rev. Aesthet. Sociol. Music
International Review of the Red Cross;Int. Rev. Red Cross
International Review of Victimology;Int. Rev. Vict.
International Review on Public and Nonprofit Marketing;Int. Rev. Public Nonprofit Market.
INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY;Int. Rev. Phys. Chem.
INTERNATIONAL REVIEWS OF IMMUNOLOGY;Int. Rev. Immunol.
INTERNATIONAL SECURITY;Int. Secur.
International Shipbuilding Progress;Int. Shipbuild. Prog.
International Small Business Journal-Researching Entrepreneurship;Int. Small Bus. J.-Res. Entrep.
International Social Security Review;Int. Soc. Secur. Rev.
INTERNATIONAL SOCIAL WORK;Int. Soc. Work
INTERNATIONAL SOCIOLOGY;Int. Sociol.
International Soil and Water Conservation Research;Int. Soil Water Conserv. Res.
International Spectator;Int. Spect.
International Sport Coaching Journal;Int. Sport Coach J.
International Sports Law Journal;Int. Sports Law J.
International Sports Studies;Int. Sports Stud.
INTERNATIONAL STATISTICAL REVIEW;Int. Stat. Rev.
International Studies in Catholic Education;Int. Stud. Cathol. Educ.
International Studies in Sociology of Education;Int. Stud. Sociol. Educ.
International Studies in the Philosophy of Science;Int. Stud. Philos. Sci.
International Studies Perspectives;Int. Stud. Perspect.
INTERNATIONAL STUDIES QUARTERLY;Int. Stud. Q.
International Studies Review;Int. Stud. Rev.
INTERNATIONAL SUGAR JOURNAL;Int. Sugar J.
INTERNATIONAL TAX AND PUBLIC FINANCE;Int. Tax Public Financ.
International Theory;Int. Theory
International Transaction Journal of Engineering Management & Applied Sciences & Technologies;Int. Trans. J. Eng. Manag. Appl. Sci. Technol.
International Transactions in Operational Research;Int. Trans. Oper. Res.
International Transactions on Electrical Energy Systems;Int. Trans. Electr. Energy Syst.
INTERNATIONAL UROGYNECOLOGY JOURNAL;Int. Urogynecol. J.
INTERNATIONAL UROLOGY AND NEPHROLOGY;Int. Urol. Nephrol.
International Wood Products Journal;Int. Wood Prod. J.
International Wound Journal;Int. Wound J.
Internationale Katholische Zeitschrift Communio;Int. Kathol. Z. Communio
INTERNATIONALES ARCHIV FUR SOZIALGESCHICHTE DER DEUTSCHEN LITERATUR;Int. Arch. Soz.gesch.
Internet and Higher Education;Internet High. Educ.
Internet Interventions-The Application of Information Technology in Mental and Behavioural Health;Internet Interv.
Internet Journal of Allied Health Sciences and Practice;Internet J. Allied Health Sci. Pract.
Internet Journal of Medical Update;Internet J. Med. Update
Internet Policy Review;Internet Policy Rev.
Internet Research;Internet Res.
Internet Technology Letters;Internet. Technol. Lett.
Internetworking Indonesia;Internetworking Indones.
INTERNIST;Internist
INTERPRETATION-A JOURNAL OF BIBLE AND THEOLOGY;Interpretation-J. Bible Theol.
INTERPRETATION-A JOURNAL OF POLITICAL PHILOSOPHY;Interpretation-J. Polit. Philos.
Interpretation-A Journal of Subsurface Characterization;Interpretation
Interpreter and Translator Trainer;Interpret. Transl. Train.
Interpreting;Interpreting
Intersectionalities-A Global Journal of Social Work Analysis Research Polity and Practice;Intersectionallities
Intersections-East European Journal of Society and Politics;Intersections
Intersections-Gender and Sexuality in Asia and the Pacific;Intersections
Intersezioni;Intersezioni
Intertax;Intertax
Intervencion-Revista Internacional de Conservacion Restauracion y Museologia;Intervencion
INTERVENTION IN SCHOOL AND CLINIC;Interv. Sch. Clin.
Intervention-International Journal of Mental Health Psychosocial Work and Counselling in Areas of Armed Conflict;Intervention
Interventional Medicine and Applied Science;Interv. Med. Appl. Sci.
Interventional Neurology;Interv. Neurol.
INTERVENTIONAL NEURORADIOLOGY;Interv. Neuroradiol.
Interventions-International Journal of Postcolonial Studies;Interventions
INTERVIROLOGY;Intervirology
Intestinal Research;Intest. Res.
Intractable & Rare Diseases Research;INTRACTABLE RARE DIS. RES.
Intrecci d Arte;Intrecci Arte
Invasive Plant Science and Management;Invasive Plant Sci. Manag.
INVENTIONES MATHEMATICAE;Invent. Math.
INVERSE PROBLEMS;Inverse Probl.
Inverse Problems and Imaging;Inverse Probl. Imaging
INVERSE PROBLEMS IN SCIENCE AND ENGINEERING;Inverse Probl. Sci. Eng.
INVERTEBRATE BIOLOGY;Invertebr. Biol.
INVERTEBRATE REPRODUCTION & DEVELOPMENT;Invertebr. Reprod. Dev.
INVERTEBRATE SYSTEMATICS;Invertebr. Syst.
Investigacion Bibliotecologica;Investig. Bibliotecol.
INVESTIGACION CLINICA;Invest. Clin.
Investigacion Economica;Investig. Econ.
Investigaciones de Historia Economica;Investig. Hist. Econ.
Investigaciones Feministas;Investig. Fem.
Investigaciones Fenomenologicas;Investig. Fenomenol.
Investigaciones Geograficas-Spain;Investig. Geogr-Spain
Investigaciones Regionales-Journal of Regional Research;Investig. Reg.
Investigaciones sobre Lectura;Investig. Lect.
Investigaciones Turisticas;Investig. Tur.
INVESTIGATIONAL NEW DRUGS;Invest. New Drugs
Investigative and Clinical Urology;Investig. Clin. Urol.
INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE;Invest. Ophthalmol. Vis. Sci.
INVESTIGATIVE RADIOLOGY;Invest. Radiol.
Investment Analysts Journal;Invest. Anal. J.
Inzinerine Ekonomika-Engineering Economics;Inz. Ekon.
Inzynieria Mineralna-Journal of the Polish Mineral Engineering Society;Inz. Miner.
IONICS;Ionics
IOWA LAW REVIEW;Iowa Law Rev.
IPRI Journal;IPRI J.
IPSI BgD Transactions on Internet Research;IPSI BgD Trans. Internet Res.
IRAL-INTERNATIONAL REVIEW OF APPLIED LINGUISTICS IN LANGUAGE TEACHING;IRAL-Int. Rev. Appl. Linguist. Lang. Teach.
Iran and the Caucasus;Iran Caucasus
Iran-Journal of the British Institute of Persian Studies;Iran
Iranian Chemical Communication;Iran. Chem. Commun.
Iranian Heart Journal;Iran. Heart J.
Iranian Journal of Allergy Asthma and Immunology;Iran. J. Allergy Asthma Immunol.
Iranian Journal of Applied Animal Science;Iran. J. Appl. Sci.
Iranian Journal of Basic Medical Sciences;Iran. J. Basic Med. Sci.
Iranian Journal of Biotechnology;Iran. J. Biotechnol.
Iranian Journal of Catalysis;Iranian J. Catal.
IRANIAN JOURNAL OF CHEMISTRY & CHEMICAL ENGINEERING-INTERNATIONAL ENGLISH EDITION;Iran J. Chem. Chem. Eng.-Int. Engl. Ed.
Iranian Journal of Child Neurology;Iran. J.Child Neurol.
Iranian Journal of Earth Sciences;Iran. J. Earth Sci.
IRANIAN JOURNAL OF FISHERIES SCIENCES;Iran. J. Fish. Sci.
Iranian Journal of Fuzzy Systems;Iran. J. Fuzzy. Syst.
Iranian Journal of Immunology;Iran. J. Immunol.
Iranian Journal of Kidney Diseases;Iran. J. Kidney Dis.
Iranian Journal of Language Teaching Research;Iran. J. Lang. Teach. Res.
Iranian Journal of Management Studies;Iran. Journ. Management Studies
Iranian Journal of Materials Science and Engineering;Iran. J. Mater. Sci. Eng.
Iranian Journal of Mathematical Chemistry;Iran. J. Math. Chem.
Iranian Journal of Mathematical Sciences and Informatics;Iran. J. Math. Sci. Inform.
Iranian Journal of Medical Sciences;Iran. J. Med. Sci.
Iranian Journal of Microbiology;Iran. J. Microbiol.
Iranian Journal of Neonatology;Iran. J. Neonatol.
Iranian Journal of Neurology;Iran. J. Neurol.
Iranian Journal of Nuclear Medicine;Iran. J. Nucl. Med.
Iranian Journal of Nursing and Midwifery Research;Iran. J. Nurs. Midwifery Res.
Iranian Journal of Parasitology;Iran. J. Parasitol.
Iranian Journal of Pediatric Hematology and Oncology;Iran. J. Pediatr. Hematol. Oncol.
Iranian Journal of Pediatrics;Iran. J. Pediatr.
Iranian Journal of Pharmaceutical Research;Iran. J. Pharm. Res.
Iranian Journal of Psychiatry and Behavioral Sciences;Iran. J. Psychiatry Behav. Sci.
Iranian Journal of Psychiatry and Clinical Psychology;Iran. J. Psychiat. Clin. Psychol.
Iranian Journal of Public Health;Iran J. Public Health
Iranian Journal of Radiology;Iran. J. Radiol.
Iranian Journal of Science and Technology Transaction A-Science;Iran. J. Sci. Technol. Trans. A-Sci.
Iranian Journal of Science and Technology-Transactions of Civil Engineering;Iran. J. Sci. Technol.-Trans. Civ. Eng.
Iranian Journal of Science and Technology-Transactions of Electrical Engineering;Iran. J. Sci. Technol.-Trans. Electr. Eng.
Iranian Journal of Science and Technology-Transactions of Mechanical Engineering;Iran J. Sci. Technol.-Trans. Mech. Eng.
Iranian Journal of Veterinary Research;Iran J. Veterinary Res.
IRANIAN POLYMER JOURNAL;Iran. Polym. J.
Iranian Red Crescent Medical Journal;Iran. Red Crescent Med. J.
Iranian Studies;Iran. Stud.
Iranica Antiqua;Iran. Antiq.
Iraqi Journal of Agricultural Sciences;Iraqi J. Agric. Sci.
Iraqi Journal of Hematology;Iraqi J. Hematol.
IRBM;IRBM
Iride-Filosofia e Discussione Pubblica;Iride
Irish Economic and Social History;Ir. Econ. Soc. Hist.
Irish Educational Studies;Ir. Educ. Stud.
IRISH HISTORICAL STUDIES;Ir. Hist. Stud.
IRISH JOURNAL OF AGRICULTURAL AND FOOD RESEARCH;Irish J. Agr. Food Res.
Irish Journal of Management;Ir. J. Manag.
IRISH JOURNAL OF MEDICAL SCIENCE;Irish J. Med. Sci.
IRISH JOURNAL OF PSYCHOLOGICAL MEDICINE;Irish J. Psychol. Med.
Irish Political Studies;Ir. Polit. Stud.
Irish Studies Review;Ir. Stud. Rev.
Irish Theological Quarterly;Ir. Theol. Q.
IRISH UNIVERSITY REVIEW;Irish Univ. Rev.
IRISH VETERINARY JOURNAL;Irish Vet. J.
IRONMAKING & STEELMAKING;Ironmak. Steelmak.
IRRIGATION AND DRAINAGE;Irrig. Drain.
IRRIGATION SCIENCE;Irrig. Sci.
ISA TRANSACTIONS;ISA Trans.
iScience;iScience
ISeCure-ISC International Journal of Information Security;ISeCure-ISC Int. J. Inf. Secur.
Isegoria;Isegoria
ISI Bilimi ve Teknigi Dergisi-Journal of Thermal Science and Technology;ISI Bilim. Tek. Derg.
ISIJ INTERNATIONAL;ISIJ Int.
ISIS;Isis
ISJ-Invertebrate Survival Journal;ISJ-Invertebr. Surviv. J.
Islam and Christian-Muslim Relations;Islam Christ.-Muslim Relat.
ISLAM-ZEITSCHRIFT FUR GESCHICHTE UND KULTUR DES ISLAMISCHEN ORIENTS;Islam-Z. Gesch. Kultur Islam. Orients
Islamic Africa;Islamic Afr.
Islamic Law and Society;Islam. Law Soc.
Islamiyyat-The International Journal of Islamic Studies;Islamiyyat
ISLAND ARC;Isl. Arc.
Island Studies Journal;Isl. Stud. J.
ISLE-Interdisciplinary Studies in Literature and Environment;ISLE-Interdiscip. Stud. Lit. Env.
Islets;Islets
ISME Journal;ISME J.
ISOKINETICS AND EXERCISE SCIENCE;Isokinetics Exerc. Sci.
ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES;Isot. Environ. Health Stud.
ISPRS International Journal of Geo-Information;ISPRS Int. Geo-Inf.
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING;ISPRS-J. Photogramm. Remote Sens.
ISRA International Journal of Islamic Finance;ISRA Int. J. Islamic Financ.
Israel Affairs;Isr. Aff.
ISRAEL EXPLORATION JOURNAL;Isr. Explor. J.
ISRAEL JOURNAL OF CHEMISTRY;Isr. J. Chem.
Israel Journal of Ecology & Evolution;Isr. J. Ecol. Evol.
Israel Journal of Health Policy Research;Isr. J. Health Policy Res.
ISRAEL JOURNAL OF MATHEMATICS;Isr. J. Math.
ISRAEL JOURNAL OF PLANT SCIENCES;Isr. J. Plant Sci.
ISRAEL JOURNAL OF PSYCHIATRY AND RELATED SCIENCES;Isr. J. Psychiatr. Relat. Sci.
ISRAEL JOURNAL OF VETERINARY MEDICINE;Isr. J. Vet. Med.
ISRAEL LAW REVIEW;Isr. Law Rev.
ISRAEL MEDICAL ASSOCIATION JOURNAL;Isr. Med. Assoc. J.
Israel Studies;Isr. Stud.
Israel Studies Review;Isr. Stud. Rev.
ISRAELI JOURNAL OF AQUACULTURE-BAMIDGEH;Isr. J. Aquac.-Bamidgeh
ISSUES IN ACCOUNTING EDUCATION;Iss. Account. Educ.
Issues in Educational Research;Iss. Educ. Res.
ISSUES IN LAW & MEDICINE;Issues Law Med.
Issues in Mental Health Nursing;Issues Ment. Health Nurs.
ISSUES IN SCIENCE AND TECHNOLOGY;Issues Sci. Technol.
Istanbul Business Research;Istanb. Bus. Res.
Istanbul Hukuk Mecmuasi;Istanb. Hukuk Mecmuas.
Istanbul Journal of Pharmacy;Istanb. J. Pharm.
Istanbul Medical Journal;Istanb. Med. J.
Istanbul Universitesi Sosyoloji Dergisi-Istanbul University Journal of Sociology;Istanb. Univ. Sosyoloj. Derg.
Istorija;Istorija
Istoriya-Elektronnyi Nauchno-Obrazovatelnyi Zhurnal;Istoriya
Istoriya-History;Istoriya
IT Professional;IT Prof.
IT-Information Technology;IT-Inf. Technol.
Italian Culture;Ital. Cult.
Italian Economic Journal;Ital. Econ. J.
Italian Geotechnical Journal-Rivista Italiana di Geotecnica;Ital. Geotech. J.
Italian Journal of Agrometeorology-Rivista Italiana di Agrometeorologia;Ital. J. Agrometeorol.-Riv. Ital. Agrometeorol.
Italian Journal of Agronomy;Ital. J. Agron.
Italian Journal of Animal Science;Ital. J. Anim. Sci.
Italian Journal of Engineering Geology and Environment;Ital. J. Eng. Geol. Env.
Italian Journal of Food Safety;Ital. J. Food Saf.
ITALIAN JOURNAL OF FOOD SCIENCE;Ital. J. Food Sci.
Italian Journal of Geosciences;Ital. J. Geosci.
Italian Journal of Linguistics;Ital. J. Linguist.
Italian Journal of Medicine;Ital. J. Med.
Italian Journal of Pediatrics;Ital. J. Pediatr.
Italian Journal of Planning Practice;Ital. J. Plan. Pract.
Italian Journal of Pure and Applied Mathematics;Ital. J. Pure Appl. Math.
Italian Journal of Vascular and Endovascular Surgery;Ital. J. Vasc. Endovasc. Surg.
Italian Political Science Review-Rivista Italiana di Scienza Politica;Ital. Polit. Sci. Rev.
Italian Studies;Ital. Stud.
Italianist;Italianist
Italianistica-Rivista di letteratura Italiana;Italianistica
Italiano LinguaDue;Ital. LinguaDue
Italica Belgradensia;Ital. Belgradensia
ITE JOURNAL-INSTITUTE OF TRANSPORTATION ENGINEERS;ITE J.-Inst. Transp. Eng.
ITE Transactions on Media Technology and Applications;ITE Trans. Media Technol. Appl.
ITEA-Informacion Tecnica Economica Agraria;ITEA-Inf. Tec. Econ. Agrar.
Itineraria;Itineraria
Itinerario-International Journal on the History of European Expansion and Global Interaction;Itinerario
ItinerArios-Revista de Literatura;ItinerArios
IUBMB LIFE;IUBMB Life
IUCrJ;IUCrJ
Ius Canonicum;Ius Canonicum
Ius Humani-Revista de Derecho;Ius Hum.
IZA Journal of Labor Policy;IZA J.  Labor Policy
Izmir Dr Behcet Uz Cocuk Hastanesi Dergisi;Izmir Dr Behcet Uz Cocuk Hastan. Derg.
Izquierdas;Izquierdas
IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS;Izv. Atmos. Ocean. Phys.
Izvestiya Instituta Matematiki i Informatiki-Udmurtskogo Gosudarstvennogo Universiteta;Izv. Inst. Mat. Inform.
IZVESTIYA MATHEMATICS;Izv. Math.
Izvestiya Saratovskogo Universiteta Novaya Seriya-Matematika Mekhanika Informatika;Izv. Sarat. Univ. Novaya Ser.-Mat. Mekhan. Inform.
Izvestiya Uralskogo Federalnogo Universiteta-Seriya 2-Gumanitarnye Nauki;Izv. Ural. Fed. Univ.-Ser. 2-Gumanitarnye Nauk.
Izvestiya Vuzov-Prikladnaya Khimiya i Biotekhnologiya;Izv. Vuzov
Izvestiya Vysshikh Uchebnykh Zavedenii Khimiya i Khimicheskaya Tekhnologiya;Izv. Vyss. Uchebnykh Zaved. Khim. Khimichesk. Tekhnol.
Izvestiya Vysshikh Uchebnykh Zavedeniy-Prikladnaya Nelineynaya Dinamika;Izv. Vyss. Uchebn. Zaved.-Prikl. Nelineynaya Din.
IZVESTIYA-PHYSICS OF THE SOLID EARTH;Izv.-Phys. Solid  Earth
J-FOR-Journal of Science & Technology for Forest Products and Processes;J-For
J19-The Journal of Nineteenth-Century Americanists;J19-J. NINET.-CENTURY AM.
JA Clinical Reports;JA CLIN. REP
JAAPA-Journal of the American Academy of Physician Assistants;JAAPA-J. Am. Acad. Physician Assist.
JACC-Basic to Translational Science;JACC-Basic Transl. Sci.
JACC-Cardiovascular Imaging;JACC-Cardiovasc. Imag.
JACC-Cardiovascular Interventions;JACC-Cardiovasc. Interv.
JACC-Clinical Electrophysiology;JACC-Clin. Electrophysiol.
JACC-Heart Failure;JACC-Heart Fail.
JACC: CardioOncology;JACC-Cardiooncol.
JAHRBUCH DER BERLINER MUSEEN;Jahrb. Berl. Museen
JAHRBUCH FUR INTERNATIONALE GERMANISTIK;Jahrb. Int. Ger.
JAHRBUCHER FUR GESCHICHTE OSTEUROPAS;Jahrb. Gesch. Osteur.
JAHRBUCHER FUR NATIONALOKONOMIE UND STATISTIK;Jahrb. Natl. Okon. Stat.
JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES;JAIDS
JAMA Cardiology;JAMA Cardiol.
JAMA Dermatology;JAMA Dermatol.
JAMA Facial Plastic Surgery;JAMA Facial Plast. Surg.
JAMA Internal Medicine;JAMA Intern. Med.
JAMA Network Open;JAMA Netw. Open
JAMA Neurology;JAMA Neurol.
JAMA Oncology;JAMA Oncol.
JAMA Ophthalmology;JAMA Ophthalmol.
JAMA Otolaryngology-Head & Neck Surgery;JAMA Otolaryngol-Head Neck Surg.
JAMA Pediatrics;JAMA Pediatr.
JAMA Psychiatry;JAMA Psychiatry
JAMA Surgery;JAMA Surg.
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION;JAMA-J. Am. Med. Assoc.
Jamba-Journal of Disaster Risk Studies;Jamba-J. Disaster Risk Stud.
JAMES JOYCE QUARTERLY;James Joyce Q.
JANAC-JOURNAL OF THE ASSOCIATION OF NURSES IN AIDS CARE;J. Assoc. Nurses Aids Care
Janus-Estudios Sobre El Siglo de Oro;Janus
JAPAN AND THE WORLD ECONOMY;Jpn. World Econ.
Japan Architectural Review;Jpn. Archit. Rev.
Japan Forum;Jpn. Forum
JAPAN JOURNAL OF INDUSTRIAL AND APPLIED MATHEMATICS;Jpn. J. Ind. Appl. Math.
Japan Journal of Nursing Science;Jpn. J. Nurs. Sci.
Japanese Accounting Review;Jpn. Account. Rev.
Japanese Dental Science Review;Jpn. Dent. Sci. Rev.
JAPANESE ECONOMIC REVIEW;Jpn. Econ. Rev.
JAPANESE JOURNAL OF APPLIED ENTOMOLOGY AND ZOOLOGY;Jpn. J. Appl. Entomol. Zool.
JAPANESE JOURNAL OF APPLIED PHYSICS;Jpn. J. Appl. Phys.
JAPANESE JOURNAL OF ARTIFICIAL ORGANS;Jpn. J. Artif. Organs
JAPANESE JOURNAL OF CLINICAL ONCOLOGY;Jpn. J. Clin. Oncol.
JAPANESE JOURNAL OF INFECTIOUS DISEASES;Jpn. J. Infect. Dis.
Japanese Journal of Mathematics;Jap. J. Math.
JAPANESE JOURNAL OF OPHTHALMOLOGY;Jpn. J. Ophthalmol.
Japanese Journal of Political Science;Jpn. J. Polit. Sci.
Japanese Journal of Radiology;Jpn. J. Radiol.
JAPANESE JOURNAL OF RELIGIOUS STUDIES;Jpn. J. Relig. Stud.
JAPANESE JOURNAL OF VETERINARY RESEARCH;Jpn. J. Vet. Res.
JAPANESE PSYCHOLOGICAL RESEARCH;Jpn. Psychol. Res.
Japanese Studies;Jpn. Stud.
Japanese Studies in Russia;Jpn. Stud. Russ.
JARO-JOURNAL OF THE ASSOCIATION FOR RESEARCH IN OTOLARYNGOLOGY;JARO
JARQ-JAPAN AGRICULTURAL RESEARCH QUARTERLY;Jarq - Jpn. Agric. Res. Q.
JASSA-The Finsia Journal of Applied Finance;JASSA
JASSS-THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION;JASSS
JATI-Journal of Southeast Asian Studies;JATI-J. Southeast Asian Stud.
JAVMA-JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION;JAVMA-J. Am. Vet. Med. Assoc.
JAVNOST-THE PUBLIC;Javnost-Public
Jazz Research Journal;Jazz Res. J.
JBI Evidence Implementation;JBI Evidence Implement.
JBJS Essential Surgical Techniques;JBJS Essent. Surg. Tech.
JBJS Reviews;JBJS Rev.
JCI Insight;JCI Insight
JCMS-Journal of Cinema and Media Studies;JCMS-J. Cine. Media Stud.
JCMS-Journal of Common Market Studies;JCMS-J. Common Mark. Stud.
JCO Clinical Cancer Informatics;JCO Clin. Cancer Info.
JCO Global Oncology;JCO Glob. Oncol.
JCO Oncology Practice;JCO Oncol. Pract.
JCO Precision Oncology;JCO Precis. Oncol.
JCOM-Journal of Science Communication;JCOM-J. Sci. Commun.
JCPSP-Journal of the College of Physicians and Surgeons Pakistan;JCPSP-J. Coll. Physicians Surg.
JCR-JOURNAL OF CLINICAL RHEUMATOLOGY;JCR-J. Clin. Rheumatol.
Jebat-Malaysian Journal of History Politics and Strategic Studies;Jebat
JETP LETTERS;Jetp Lett.
Jeu-Revue de Theatre;Jeu
Jeunesse-Young People Texts Cultures;Jeunesse
Jewish Film & New Media-An International Journal;Jew. Film New Media
Jewish History;Jew. Hist.
JEWISH QUARTERLY REVIEW;Jew. Q. Rev.
JEWISH SOCIAL STUDIES;Jew. Soc. Stud.
Jewish Studies Quarterly;Jew. Stud. Q.
Jezikoslovlje;Jezikoslovlje
JGH Open;JGH Open
JIMS8M-The Journal of Indian Management & Strategy;JIMS8M-J. Indian Manag. Strategy
JIRSS-Journal of the Iranian Statistical Society;JIRSS-J. Iran. Stat. Soc.
JLIS.it;JLIS.it
JMIR Cancer;JMIR Cancer
JMIR Medical Informatics;JMIR Med. Inf.
JMIR Mental Health;JMIR Ment. Health
JMIR mHealth and uHealth;JMIR mHealth uHealth
JMIR Public Health and Surveillance;JMIR Public Health Surveill.
JMIR Research Protocols;JMIR RES. Protoc.
JMIR Serious Games;JMIR Serious Games
JMM-International Journal on Media Management;JMM-Int. J. Media Manag.
JNCI Cancer Spectrum;JNCI Cancer Spectr.
JNCI-Journal of the National Cancer Institute;JNCI-J. Natl. Cancer Inst.
JNP-Journal for Nurse Practitioners;JNP-J. Nurse Pract.
JNT-JOURNAL OF NARRATIVE THEORY;JNT-J Narrative Theory
JOGNN-JOURNAL OF OBSTETRIC GYNECOLOGIC AND NEONATAL NURSING;JOGNN
JOHNS HOPKINS APL TECHNICAL DIGEST;Johns Hopkins APL Tech. Dig.
Johnson Matthey Technology Review;Johns. Matthey Technol. Rev.
JOINT BONE SPINE;Joint Bone Spine
